loading data...
487339 lines
sampling 1000 sentences and computing ['bias', 'subjectivity', 'vader', 'flesch-kincaid']...
collected features: (487336, 4)
+----------------------------+--------+--------------+--------+----------------+
|         sentences          |  bias  | subjectivity | vader  | flesch-kincaid |
| you sure you didnt try     |        |              |        |                |
| installing windows after   |        |              |        |                |
| linux was installed ? yes  |        |              |        |                |
| they have both been        |        |              |        |                |
| installed for a while now  |        |              |        |                |
| you can boot into linux    |        |              |        |                |
| now right ? correct        |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| guys seems that drivers    | -0.183 | 0.481        | -0.854 | 2.100          |
| arent **unknown** with     |        |              |        |                |
| 9.10 anyone know a link    |        |              |        |                |
| for working ati drivers    |        |              |        |                |
| for ubuntu 9.10 sh it gave |        |              |        |                |
| me this error error : .    |        |              |        |                |
| **unknown** . sh does not  |        |              |        |                |
| support version default :  |        |              |        |                |
| v2 : i686 : lib :: none :  |        |              |        |                |
| 2.6 . **unknown**  make    |        |              |        |                |
| sure that the version is   |        |              |        |                |
| being correctly set by --  |        |              |        |                |
| **unknown** do you mean    |        |              |        |                |
| the proprietary drivers ?  |        |              |        |                |
| if so the legacy ( 9.3 -)  |        |              |        |                |
| or the recent ( 9.4 +) ? i |        |              |        |                |
| spent weeks trying to get  |        |              |        |                |
| the legacy drivers to work |        |              |        |                |
| in karmic .... i want that |        |              |        |                |
| time back . so you are     |        |              |        |                |
| saying im kinda screwed ?  |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| if you have universe       | 0.266  | 0.600        | 0.361  | 9.100          |
| enabled you can use sudo   |        |              |        |                |
| apt-get install nvu thank  |        |              |        |                |
| how do i execute it ? it   |        |              |        |                |
| should make an icon for it |        |              |        |                |
| under either               |        |              |        |                |
| applications->internet or  |        |              |        |                |
| **unknown**                |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "how do i change my time   | 0.344  | 0.523        | 0.883  | 3.700          |
| zone ? tzconfig i get this |        |              |        |                |
| "" please enter the name   |        |              |        |                |
| of one of these cities or  |        |              |        |                |
| zones yep . answer those   |        |              |        |                |
| questions i answer new     |        |              |        |                |
| york and nothing happens i |        |              |        |                |
| get the same message again |        |              |        |                |
| **unknown** non of these   |        |              |        |                |
| works : **unknown** or new |        |              |        |                |
| york or **unknown** sudo   |        |              |        |                |
| tzconfig ... your current  |        |              |        |                |
| tz is ... do you want to   |        |              |        |                |
| change that ? [ n ] : yes  |        |              |        |                |
| cat > /etc/timezone << eof |        |              |        |                |
| "" sudo tzconfig ... your  |        |              |        |                |
| current tz is ... do you   |        |              |        |                |
| want to change that ? [ n  |        |              |        |                |
| ] : yes "" and then i      |        |              |        |                |
| entered all those 3        |        |              |        |                |
| entries agai nand nothing  |        |              |        |                |
| hapes again did you see    |        |              |        |                |
| about cat that string to   |        |              |        |                |
| /etc/timezone ? sorry i am |        |              |        |                |
| a noob . is ""             |        |              |        |                |
| /etc/timezone "" i         |        |              |        |                |
| direcotry i should go to ? |        |              |        |                |
| read what i said before    |        |              |        |                |
| ... cat > /etc/timezone << |        |              |        |                |
| eof \n **unknown** eof     |        |              |        |                |
| where \n means press       |        |              |        |                |
| enter"                     |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| do you have any advice for | 0.239  | 0.460        | -0.382 | 8.700          |
| getting nvidia drivers     |        |              |        |                |
| working that don't wanna ? |        |              |        |                |
| they just worked for me    |        |              |        |                |
| after enabling them and a  |        |              |        |                |
| couple of reboots :) you   |        |              |        |                |
| could see if the nvidia    |        |              |        |                |
| site has a later version   |        |              |        |                |
| but then you are somewhat  |        |              |        |                |
| on your own alright        |        |              |        |                |
| thanks cromag i got it ... |        |              |        |                |
| i think ... it was the     |        |              |        |                |
| problem with the (         |        |              |        |                |
| restricted ) package       |        |              |        |                |
| repositories not being     |        |              |        |                |
| enabled ... that didn't    |        |              |        |                |
| allow ubuntu to download   |        |              |        |                |
| the gfx drivers that it    |        |              |        |                |
| needed to enable the thing |        |              |        |                |
| properly .                 |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "can someone help me with  | 0.208  | 0.605        | 0.821  | 3.300          |
| network manager ? i want   |        |              |        |                |
| it to stop managing a card |        |              |        |                |
| and need to know what to   |        |              |        |                |
| add to                     |        |              |        |                |
| /etc/network/interfaces    |        |              |        |                |
| have you managed to        |        |              |        |                |
| connect manually ( with    |        |              |        |                |
| wpa_suplicant ) to your    |        |              |        |                |
| network ? ya .. i have two |        |              |        |                |
| wireless nics  i want nm   |        |              |        |                |
| to manage one and not the  |        |              |        |                |
| other ... for file you can |        |              |        |                |
| use pv what is pv ? and    |        |              |        |                |
| this is it ( also for      |        |              |        |                |
| file) : http://chris-      |        |              |        |                |
| lamb.co.uk/2008/01/24/can- |        |              |        |                |
| you-get-cp-to-give-a       |        |              |        |                |
| -progress-bar-like-wget/   |        |              |        |                |
| from "" man pv "": pv -    |        |              |        |                |
| monitor the progress of    |        |              |        |                |
| data through a pipe i      |        |              |        |                |
| think im gonna go with pv  |        |              |        |                |
| .. little confused though  |        |              |        |                |
| ... im a little confused   |        |              |        |                |
| as to pv 's use .. do i    |        |              |        |                |
| just pipe the mv to pv ie  |        |              |        |                |
| : pv | mv filename         |        |              |        |                |
| destination ? cat          |        |              |        |                |
| **unknown** | pv [ options |        |              |        |                |
| ? ] > **unknown** ( not    |        |              |        |                |
| very fast or very precise) |        |              |        |                |
| also cp ( not in ubuntu )  |        |              |        |                |
| have -- prog or -g option  |        |              |        |                |
| ( maybe own build ? ) why  |        |              |        |                |
| cat tho ? could i do a ""  |        |              |        |                |
| mv source | pv > target ?  |        |              |        |                |
| netstat -tulp interface    |        |              |        |                |
| ... use iftop instead      |        |              |        |                |
| sorry that for netstat ?   |        |              |        |                |
| yes  binding  have linky   |        |              |        |                |
| somehere ... binding :     |        |              |        |                |
| **unknown** link no good   |        |              |        |                |
| accroding to goole binding |        |              |        |                |
| : **unknown** sorry i not  |        |              |        |                |
| l ah man  thats way above  |        |              |        |                |
| my paygrade what are 3     |        |              |        |                |
| **unknown**  mate . answer |        |              |        |                |
| 4 - 1 . wget 2 . gcc 3 .   |        |              |        |                |
| use it ( bind .... )) well |        |              |        |                |
| first question .. first    |        |              |        |                |
| question : why is smbd     |        |              |        |                |
| listening on 339 and not   |        |              |        |                |
| 445 ? ok nevermind  thats  |        |              |        |                |
| the process id "" fe80 ::  |        |              |        |                |
| 213 :: microsoft-ds ""     |        |              |        |                |
| whats twith the hex values |        |              |        |                |
| ? and dot files in ? mv to |        |              |        |                |
| different name and remove  |        |              |        |                |
| ."                         |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| drop it no tell them also  | 1.044  | 0.333        | -0.511 | 0.900          |
| just be quiet and they     |        |              |        |                |
| will .                     |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i have been pinged 12      | 0.376  | 0.564        | 0.817  | 5.600          |
| times in 4 minutes         |        |              |        |                |
| **unknown** . **unknown**  |        |              |        |                |
| i will be hooking this     |        |              |        |                |
| freak up i have found it   |        |              |        |                |
| is from oregon state u it  |        |              |        |                |
| is on yeap i have even got |        |              |        |                |
| the phone number of their  |        |              |        |                |
| tech section . i will be   |        |              |        |                |
| reporting this jerkoff so  |        |              |        |                |
| now call and prank them it |        |              |        |                |
| is the tech section it     |        |              |        |                |
| happens all the time .     |        |              |        |                |
| yeap  but it shouldnt i    |        |              |        |                |
| will have this jerkoffs    |        |              |        |                |
| priveleges revoked deal w/ |        |              |        |                |
| it . right  understand     |        |              |        |                |
| don't be the webs police . |        |              |        |                |
| i dont like someone trying |        |              |        |                |
| to snoop on my pc i use    |        |              |        |                |
| that situation to force me |        |              |        |                |
| to have a better more      |        |              |        |                |
| stable box true            |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| does darwinia allow you to | -0.085 | 0.530        | 0.620  | 4.100          |
| reinstall it ? i had to do |        |              |        |                |
| a fresh insta  install* it |        |              |        |                |
| should do  yes . re-add    |        |              |        |                |
| the ppa using the          |        |              |        |                |
| information on **unknown** |        |              |        |                |
| and reinstall the relevant |        |              |        |                |
| package . it 's a          |        |              |        |                |
| purchased game i'm aware . |        |              |        |                |
| there was no ppa           |        |              |        |                |
| information ?              |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "is my problem impossible  | 0.384  | 0.718        | 0.978  | 11.100         |
| to solve or something ? it |        |              |        |                |
| 's probably because noone  |        |              |        |                |
| has an answer for you ...  |        |              |        |                |
| i guess it 's up to the "" |        |              |        |                |
| programs "" themselves to  |        |              |        |                |
| be coded to check for an   |        |              |        |                |
| internet connection ? i    |        |              |        |                |
| haven't done low level     |        |              |        |                |
| network programming  but   |        |              |        |                |
| in higher level languages  |        |              |        |                |
| when a network connection  |        |              |        |                |
| is terminated the program  |        |              |        |                |
| knows about it when the os |        |              |        |                |
| tells them ( closes        |        |              |        |                |
| connection  **unknown** )  |        |              |        |                |
| so i'm assuming that linux |        |              |        |                |
| is waiting aorund forever  |        |              |        |                |
| to tell everyone outta my  |        |              |        |                |
| league i'm afraid : | np   |        |              |        |                |
| thanks :) at least someone |        |              |        |                |
| aknowledged your existence |        |              |        |                |
| :) yay ! :)"               |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hey guys...i'm having some | -0.061 | 0.349        | -0.248 | 5.600          |
| problems with my           |        |              |        |                |
| partitions being assigned  |        |              |        |                |
| different device names (   |        |              |        |                |
| sda  sdb  sdc ) when i     |        |              |        |                |
| boot up . none of these    |        |              |        |                |
| devices have uuid's they   |        |              |        |                |
| are referred to by the old |        |              |        |                |
| style . do you think this  |        |              |        |                |
| is the problem ? i used to |        |              |        |                |
| have that problem with usb |        |              |        |                |
| drives ... i made explicit |        |              |        |                |
| udev entries for them and  |        |              |        |                |
| they stuck not sure if     |        |              |        |                |
| that applies to your       |        |              |        |                |
| situation hmm ... none of  |        |              |        |                |
| these are usb devices      |        |              |        |                |
| though . it might still    |        |              |        |                |
| apply ? the same trick     |        |              |        |                |
| might be useful . the usb  |        |              |        |                |
| devices are /dev/sd* too   |        |              |        |                |
| ... how exactly do i do it |        |              |        |                |
| ? google for udev howto or |        |              |        |                |
| udev tutorial - you'll     |        |              |        |                |
| just be adding one line to |        |              |        |                |
| a udev conf file i can't   |        |              |        |                |
| remember precisely ok      |        |              |        |                |
| i'll try that . thanks .   |        |              |        |                |
| the basic process is :     |        |              |        |                |
| looking in /sys for some   |        |              |        |                |
| identifying info about the |        |              |        |                |
| devices and then adding a  |        |              |        |                |
| line that maps that info   |        |              |        |                |
| to a device node good luck |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| okay time to set up a      | 0.068  | 0.523        | 0.925  | 5.200          |
| working squid cacheing     |        |              |        |                |
| proxy and *then* apt-get   |        |              |        |                |
| update edit files in       |        |              |        |                |
| **unknown** **unknown**    |        |              |        |                |
| like can you tell me how   |        |              |        |                |
| to i'd be glad to share my |        |              |        |                |
| setup with you . pm me     |        |              |        |                |
| better to talk in the main |        |              |        |                |
| channel - then others can  |        |              |        |                |
| also learn . thanks for    |        |              |        |                |
| the thought i am new here  |        |              |        |                |
| so kinda ..... so  what    |        |              |        |                |
| partitions are your        |        |              |        |                |
| windows and linux on .     |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| how can i force ubuntu to  | -0.505 | 0.456        | 0.153  | 2.500          |
| not ask for the feisty     |        |              |        |                |
| server cd and download     |        |              |        |                |
| from the repos ? the cd    |        |              |        |                |
| drive on this pc has gone  |        |              |        |                |
| bad . modifying sources .  |        |              |        |                |
| list ok  thanks .          |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| k let me try ok i'm in ..  | -0.083 | 0.630        | 0.833  | 6.400          |
| it has grub and lost+found |        |              |        |                |
| stuff man i would do       |        |              |        |                |
| anyting for this help lol  |        |              |        |                |
| no data the hd is says     |        |              |        |                |
| **unknown** and the hd is  |        |              |        |                |
| acutally 320 it 's not     |        |              |        |                |
| showing in the mounting    |        |              |        |                |
| okay i was tryign to       |        |              |        |                |
| reinstall ubuntu and i was |        |              |        |                |
| trying to do the correct   |        |              |        |                |
| partioning so i don't get  |        |              |        |                |
| grub errors and i went to  |        |              |        |                |
| advance install and select |        |              |        |                |
| that volume just to write  |        |              |        |                |
| the boot data you mean you |        |              |        |                |
| selected manual install ?  |        |              |        |                |
| and in final step you went |        |              |        |                |
| to advanced install for    |        |              |        |                |
| grub so what exactly is    |        |              |        |                |
| your problem ? you cant    |        |              |        |                |
| boot or see grub ? whats   |        |              |        |                |
| /dev/sdd thats easy to fix |        |              |        |                |
| u cant boot into ubuntu    |        |              |        |                |
| correct ? could you please |        |              |        |                |
| repeat the problem you     |        |              |        |                |
| have  i might have missed  |        |              |        |                |
| something so is your       |        |              |        |                |
| problem solved ? >> u      |        |              |        |                |
| still there                |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| ok ohh ok .. ! that 's the | 0.227  | 0.588        | 0.897  | 3.600          |
| best thing about linux :)  |        |              |        |                |
| what did u mean its the    |        |              |        |                |
| best thing about linux     |        |              |        |                |
| i've spent my whole day [  |        |              |        |                |
| since after noon to right  |        |              |        |                |
| now 7 pm ] only looking    |        |              |        |                |
| for a soln to this thing ! |        |              |        |                |
| which inclued looking for  |        |              |        |                |
| alternative programs !     |        |              |        |                |
| sigh ... the more you      |        |              |        |                |
| break your head over       |        |              |        |                |
| little stuff  the more     |        |              |        |                |
| brilliant you'll become .  |        |              |        |                |
| that 's my only point  but |        |              |        |                |
| whatever .                 |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hello  can i have multiple | -0.613 | 0.634        | -0.414 | 4.500          |
| wallpapers ? for instance  |        |              |        |                |
| a different wallpaper per  |        |              |        |                |
| workspace ? is this        |        |              |        |                |
| possible ? it 's possible  |        |              |        |                |
| in kde . i believe also in |        |              |        |                |
| gnome  but i'm not certain |        |              |        |                |
| . i know                   |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| more than one program      | -0.442 | 0.374        | -0.540 | 7.900          |
| can't use sound card       |        |              |        |                |
| simultaniously on my       |        |              |        |                |
| ubuntu . do we have a fix  |        |              |        |                |
| for this ? it depends on   |        |              |        |                |
| the programs and how well  |        |              |        |                |
| they handle it  plus the   |        |              |        |                |
| sound type i can use mpd   |        |              |        |                |
| and songbird and vlc all   |        |              |        |                |
| at once  but occasionally  |        |              |        |                |
| flash steals the entire    |        |              |        |                |
| sound device from all the  |        |              |        |                |
| rest : previous build of   |        |              |        |                |
| ubuntus wasn't have this   |        |              |        |                |
| issue ...                  |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i've got a nvidia geforce  | 0.310  | 0.467        | 0.897  | 2.900          |
| go 7150m graphic card but  |        |              |        |                |
| envy says it doesn't       |        |              |        |                |
| recognise it . anyone know |        |              |        |                |
| if a manual install will   |        |              |        |                |
| be safe ? yes its safe ..  |        |              |        |                |
| does envy have to be run   |        |              |        |                |
| with sudo ? i think so yes |        |              |        |                |
| .                          |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hey my camera wont load up | 0.243  | 0.427        | 0.793  | 4.400          |
| on ubuntu form usb from    |        |              |        |                |
| plug it in and do dmesg |  |        |              |        |                |
| tail in a terminal meaning |        |              |        |                |
| you get an sda or sdb or   |        |              |        |                |
| whatnot ? ok what do i     |        |              |        |                |
| type in terminal ? tell me |        |              |        |                |
| exactly what to type so i  |        |              |        |                |
| dont mess up dmesg | tail  |        |              |        |                |
| or just dmesg the tail     |        |              |        |                |
| just means you wont have   |        |              |        |                |
| to wait for it to scroll   |        |              |        |                |
| to the bottom sudo dmesg ? |        |              |        |                |
| if ya want ok i typed it   |        |              |        |                |
| now what any sda or sdb or |        |              |        |                |
| c or d ..? what do u mean  |        |              |        |                |
| ? type dmesg and hit enter |        |              |        |                |
| i see sda and sd where is  |        |              |        |                |
| it ? so mkdir **unknown**  |        |              |        |                |
| sudo mount -o umask=000    |        |              |        |                |
| /dev/sda1 /mnt/camera  ln  |        |              |        |                |
| -s /mnt/camera **unknown** |        |              |        |                |
| < -- might work er i       |        |              |        |                |
| mispelled camera a few     |        |              |        |                |
| times p                    |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "man  ubuntu runs sooo     | 0.475  | 0.489        | 0.902  | 2.100          |
| much smoother than kubuntu |        |              |        |                |
| kde4 is really bloated ... |        |              |        |                |
| i have read the same       |        |              |        |                |
| things about that . that   |        |              |        |                |
| gnome is faster and such . |        |              |        |                |
| i'm using it atm  but i    |        |              |        |                |
| can't get global shortcuts |        |              |        |                |
| to work and i can't make   |        |              |        |                |
| it my defult . i think     |        |              |        |                |
| now i could be wrong  but  |        |              |        |                |
| i think you can change it  |        |              |        |                |
| by using this command ""   |        |              |        |                |
| gksudo gedit **unknown** . |        |              |        |                |
| list "" and then editing   |        |              |        |                |
| some options . so many     |        |              |        |                |
| entries to edit t_t no     |        |              |        |                |
| problem . i think if you   |        |              |        |                |
| find the **unknown**       |        |              |        |                |
| sections  and change the   |        |              |        |                |
| "" rhythmbox . desktop ""  |        |              |        |                |
| to "" amarok . desktop ""  |        |              |        |                |
| you should be good . only  |        |              |        |                |
| change the variabled that  |        |              |        |                |
| are after the = sign . try |        |              |        |                |
| that  see what happens .   |        |              |        |                |
| if it does not work        |        |              |        |                |
| changing them back might   |        |              |        |                |
| be a good idea . and of    |        |              |        |                |
| course save the file when  |        |              |        |                |
| you are done . :p forgot   |        |              |        |                |
| that almost . i'll try     |        |              |        |                |
| that if i can't find       |        |              |        |                |
| anything else  there 's    |        |              |        |                |
| bound to be some option    |        |              |        |                |
| here ... there may very    |        |              |        |                |
| well be . i wish i knew    |        |              |        |                |
| more . the fix i showed    |        |              |        |                |
| you is something i read on |        |              |        |                |
| one of the multimedia      |        |              |        |                |
| sticky 's on ubuntu forums |        |              |        |                |
| . i'm just a noob myself . |        |              |        |                |
| trying to figure things    |        |              |        |                |
| out . where 's the option  |        |              |        |                |
| to edit as root ? you mean |        |              |        |                |
| with the code i gave you   |        |              |        |                |
| that opens your default    |        |              |        |                |
| programs list ?"           |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i did stop talking about   | -0.447 | 0.633        | -0.870 | 6.400          |
| vista a while back but     |        |              |        |                |
| sorry i kept on talking    |        |              |        |                |
| about rescuecd but there   |        |              |        |                |
| is no need to talk about   |        |              |        |                |
| it  my concern is          |        |              |        |                |
| installing ubuntu on my    |        |              |        |                |
| toshiba preinstalled vista |        |              |        |                |
| ! offtopic stuff includes  |        |              |        |                |
| windows . no problem i     |        |              |        |                |
| understand it yet dual     |        |              |        |                |
| booting is relevant  isnt  |        |              |        |                |
| it ? yes . if it 's        |        |              |        |                |
| support .                  |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "hey all  i am trying to   | -0.134 | 0.421        | -0.445 | 2.900          |
| install ubuntu server  and |        |              |        |                |
| when trying to erase the   |        |              |        |                |
| data on the swap partition |        |              |        |                |
| i get this error : "" an   |        |              |        |                |
| error occurred trying to   |        |              |        |                |
| erase the data on scsi1 (  |        |              |        |                |
| 0  0  0  partition #1 (    |        |              |        |                |
| sda) . the data has not    |        |              |        |                |
| been erased ."" what can i |        |              |        |                |
| do to format this          |        |              |        |                |
| partition ? was swap in    |        |              |        |                |
| use ? no . i am trying to  |        |              |        |                |
| install ubuntu fresh .     |        |              |        |                |
| this computer has never    |        |              |        |                |
| had linux on it . it had   |        |              |        |                |
| windows xp so if mount     |        |              |        |                |
| doesn't show it  try to    |        |              |        |                |
| **unknown** it from live-  |        |              |        |                |
| cd first  sounds little    |        |              |        |                |
| strange this is an older   |        |              |        |                |
| machine . the live cd will |        |              |        |                |
| not boot on it . that is   |        |              |        |                |
| why i am trying to install |        |              |        |                |
| ubuntu server . more specs |        |              |        |                |
| of the machine ? dell p3   |        |              |        |                |
| 1.0 ghz 384mb ram 150gb    |        |              |        |                |
| hdd ( **unknown**          |        |              |        |                |
| **unknown** ) and you'll   |        |              |        |                |
| use a whole hd ? no . i    |        |              |        |                |
| have data on the 120gb hdd |        |              |        |                |
| . i am trying to install   |        |              |        |                |
| ubuntu server on the 30gb  |        |              |        |                |
| hdd and you'll use a whole |        |              |        |                |
| hd ?... so the whole 30 gb |        |              |        |                |
| then  so yes  disconnect   |        |              |        |                |
| the 120 to prevent any     |        |              |        |                |
| trouble  set bios to boot  |        |              |        |                |
| from 30  use alternate     |        |              |        |                |
| installer  put on          |        |              |        |                |
| datastorage in fstab later |        |              |        |                |
| ok  i gotta set the bios   |        |              |        |                |
| to boot from the 30gb hdd  |        |              |        |                |
| . i dont think i did that  |        |              |        |                |
| . i will check now . that  |        |              |        |                |
| won't be the issue about   |        |              |        |                |
| swap ... i just wanted to  |        |              |        |                |
| set possible               |        |              |        |                |
| missunderstandings out ok  |        |              |        |                |
| . did you use the          |        |              |        |                |
| alternate installer ? for  |        |              |        |                |
| clarification  in the bios |        |              |        |                |
| one hdd says  ""           |        |              |        |                |
| **unknown** "" the other   |        |              |        |                |
| says "" **unknown** "".    |        |              |        |                |
| whats the difference ? i   |        |              |        |                |
| am using the ubuntu server |        |              |        |                |
| disc . it loads into the   |        |              |        |                |
| text based installer by    |        |              |        |                |
| default also  i am trying  |        |              |        |                |
| to setup the swap from the |        |              |        |                |
| first sector to whatever   |        |              |        |                |
| sector equals 1gb ..       |        |              |        |                |
| should i tell the          |        |              |        |                |
| installer to skip the      |        |              |        |                |
| first few sectors ?"       |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "where do i find help in   | 0.172  | 0.402        | 0.845  | 3.700          |
| how to set up remote       |        |              |        |                |
| login/ ? a windows         |        |              |        |                |
| computer with my ubuntu    |        |              |        |                |
| 12.10 . do i just input    |        |              |        |                |
| ssh and the ip address of  |        |              |        |                |
| the windows pc i already   |        |              |        |                |
| downloaded openssh         |        |              |        |                |
| openssh-server ? yes  that |        |              |        |                |
| what was . openshh-server  |        |              |        |                |
| but i dont know how to go  |        |              |        |                |
| from there . i am lost     |        |              |        |                |
| just "" sudo apt-get       |        |              |        |                |
| install openssh-server ""  |        |              |        |                |
| i did that . but how to i  |        |              |        |                |
| set up my ubuntu 12.10 .   |        |              |        |                |
| do i just download putty   |        |              |        |                |
| in windows or any other    |        |              |        |                |
| computer  and type ssh +   |        |              |        |                |
| ip address of my ubuntu    |        |              |        |                |
| 12.10 yes really that easy |        |              |        |                |
| ?"                         |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hello  how do i install    | -0.165 | 0.488        | 0.535  | 4              |
| vlc 2.0 ? that is pretty   |        |              |        |                |
| useless . 2.0 just isn't   |        |              |        |                |
| in the repositories yet it |        |              |        |                |
| seems http://www.videolan. |        |              |        |                |
| org/vlc/download-          |        |              |        |                |
| ubuntu.html i don't think  |        |              |        |                |
| that 's offical  but it 's |        |              |        |                |
| still by the people who    |        |              |        |                |
| made vlc . i can not find  |        |              |        |                |
| one  it just tells me to   |        |              |        |                |
| do apt-get update and then |        |              |        |                |
| install the new one  but   |        |              |        |                |
| it just installs the older |        |              |        |                |
| one . i guess the new one  |        |              |        |                |
| isn't in the repositories  |        |              |        |                |
